A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
0,-4.0,-2.5,5.3,-1.0,1.8,0.3,-0.5,good
1,-1.2,-2.8,3.7,1.6,0.9,0.9,-0.7,good
2,-0.3,-1.4,-1.7,-0.3,2.8,-0.0,2.6,bad
3,-0.7,-2.3,1.3,-0.1,3.6,-3.4,0.8,good
4,1.4,-1.3,-0.4,-0.6,3.0,-1.3,0.5,good
5,-3.4,-1.4,-1.9,-0.6,-3.9,1.9,-3.0,bad
6,1.3,1.6,0.9,-1.7,3.1,-1.8,2.4,good
7,-2.0,-0.4,1.5,-0.7,0.2,1.0,-1.5,good
8,-3.9,-3.7,1.0,-1.2,2.3,4.1,-4.9,bad
9,-0.7,-0.4,-4.1,0.6,0.4,1.6,2.2,bad
10,-2.7,-1.3,-1.4,-0.6,2.4,3.4,-2.8,bad
11,2.5,-0.6,-1.6,0.9,-2.1,1.2,1.3,good
12,-0.2,-1.9,-1.8,2.4,-3.1,-0.6,-2.1,bad
13,-1.3,-1.6,2.0,1.8,1.0,0.4,1.7,good
14,2.8,-0.3,-1.0,0.9,-1.3,0.6,1.7,good
15,-2.7,-2.8,4.2,0.7,2.2,-0.1,-1.1,good
16,-1.5,-2.0,-2.2,0.9,2.9,4.0,-0.6,bad
17,-0.1,-4.7,0.2,2.9,1.4,-2.6,1.3,good
18,-0.3,1.7,-2.4,3.5,0.4,-0.1,2.5,bad
19,-2.1,0.4,-1.2,4.3,1.6,-4.6,-1.4,good
20,-2.3,-2.9,-3.5,0.8,4.1,6.3,0.7,bad
21,1.2,-0.7,-1.4,7.6,1.1,-3.7,2.6,good
22,-2.4,-0.7,0.1,0.6,3.0,0.8,3.2,bad
23,0.1,-0.8,-2.2,1.0,0.6,0.2,2.1,bad
24,0.5,-1.4,-0.7,1.8,-4.2,-1.8,-1.4,bad
25,-1.3,-3.5,-1.1,0.6,-2.8,1.7,-3.8,bad
26,-0.3,-0.5,0.9,1.4,2.3,0.7,-2.9,good
27,2.0,0.7,-2.1,2.6,-1.0,0.4,-2.4,bad
28,1.4,1.7,-1.8,1.7,-0.3,-1.3,-1.2,bad
29,-0.6,1.5,-1.8,0.7,-0.4,0.8,1.6,bad
30,0.4,-2.3,-3.3,-0.3,-2.7,2.6,-3.0,bad
31,-2.6,-0.1,2.4,1.3,3.3,-1.8,-2.6,good
32,1.7,-3.0,-0.1,-0.9,3.0,-0.7,1.2,good
33,-0.6,-1.1,2.3,0.3,5.1,-3.4,5.6,bad
34,-0.0,-1.3,2.3,2.9,0.8,1.1,2.3,good
35,-1.0,-2.5,-4.1,0.8,1.0,5.0,-1.0,bad
36,-3.1,0.8,-1.1,1.5,1.8,-0.1,-1.5,good
37,3.9,-1.6,-4.8,1.9,0.8,1.6,-2.5,good
38,-1.8,-3.5,3.7,-0.2,1.3,1.5,-2.3,good
39,1.3,-2.4,1.0,1.5,4.8,-3.4,2.5,good
40,1.2,-1.4,-0.9,2.0,0.4,-0.7,1.1,bad
41,-0.4,-2.0,1.4,3.2,1.0,1.5,2.7,good
42,-1.5,-2.7,1.8,0.5,-0.4,1.3,-1.7,bad
43,0.8,0.8,0.2,1.5,-1.6,-2.8,0.2,bad
44,3.9,2.8,-2.7,1.4,0.1,1.1,2.6,good
45,0.0,-0.0,-0.5,4.9,-0.6,-3.2,1.2,good
46,-0.5,-0.8,-0.8,2.0,1.5,0.3,-4.5,good
47,-1.4,2.7,-2.3,1.0,1.9,2.3,3.1,bad
48,-3.3,0.7,-1.4,0.7,1.6,2.6,0.7,bad
49,-1.1,2.3,-2.6,0.9,-0.0,2.2,2.9,bad
50,-2.9,0.5,0.8,-1.5,-0.3,1.4,-2.3,good
